,Prduct_url,title_name,best_price,Vehicle type:,Usage:,Manufacturer:,Width:,Height:,Construction:,Diameter:,Load index:,Speed index:,EAN:,EU tyre label:,Customer reviews:,Runflat:
70,https://www.tyres-online.in/continental-contisportcontact-3-265-35-r18-97y--5730497,Continental ContiSportContact 3 265/35 R18 97Y,['22000.0'],Car,Summer,Continental,265,35,R,18,97,Y,4019238403985,B,E,
71,https://www.tyres-online.in/continental-contisportcontact-3-235-40-zr18-95y--16277694,Continental ContiSportContact 3 235/40 ZR18 95Y,['17500.0'],Car,Summer,Continental,235,40,ZR,18,95,Y,4019238374575,B,G,
72,https://www.tyres-online.in/michelin-primacy-hp-245-45-r17-95y--1011724,Michelin Primacy HP 245/45 R17 95Y,['14500.0'],Car,Summer,Michelin,245,45,R,17,95,Y,3528708642966,B,E,
73,https://www.tyres-online.in/pirelli-p-zero-runflat-245-50-r18-100y--15233227,Pirelli P Zero runflat 245/50 R18 100Y,['20500.0'],Car,Summer,Pirelli,245,50,R,18,100,Y,8019227178906,B,D,Runflat
74,https://www.tyres-online.in/pirelli-cinturato-p7-225-45-r17-91v--14315749,Pirelli Cinturato P7 225/45 R17 91V,['9500.0'],Car,Summer,Pirelli,225,45,R,17,91,V,8019227202922,B,C,
75,https://www.tyres-online.in/continental-contisportcontact-3-ssr-245-40-r18-93y--9142357,Continental ContiSportContact 3 SSR 245/40 R18 93Y,['19500.0'],Car,Summer,Continental,245,40,R,18,93,Y,4019238664607,B,F,Runflat
76,https://www.tyres-online.in/michelin-pilot-sport-ps2-295-30-zr19-100y--15163553,Michelin Pilot Sport PS2 295/30 ZR19 100Y,['29000.0'],Car,Summer,Michelin,295,30,ZR,19,100,Y,3528701727950,B,D,
77,https://www.tyres-online.in/bridgestone-turanza-er-300-ecopia-225-50-r16-92v--5734553,Bridgestone Turanza ER 300 Ecopia 225/50 R16 92V,['23619.0'],Car,Summer,Bridgestone,225,50,R,16,92,V,3286340484619,F,,
78,https://www.tyres-online.in/pirelli-p-zero-235-40-zr18-95y--2584774,Pirelli P ZERO 235/40 ZR18 95Y,['15500.0'],Car,Summer,Pirelli,235,40,ZR,18,95,Y,8019227172300,B,D,
79,https://www.tyres-online.in/pirelli-p-zero-runflat-275-40-r19-101y--6189182,Pirelli P Zero runflat 275/40 R19 101Y,['26500.0'],Car,Summer,Pirelli,275,40,R,19,101,Y,8019227212273,B,D,Runflat
80,https://www.tyres-online.in/continental-contisportcontact-5-225-45-r17-91y--14119080,Continental ContiSportContact 5 225/45 R17 91Y,['11500.0'],Car,Summer,Continental,225,45,R,17,91,Y,4019238504859,B,D,
81,https://www.tyres-online.in/yokohama-advan-sport-v105--225-45-r17-91w--9793713,Yokohama Advan Sport (V105) 225/45 R17 91W,['10950.0'],Car,Summer,Yokohama,225,45,R,17,91,W,4968814801441,B,D,
82,https://www.tyres-online.in/yokohama-c.-drive-2-ac02a-zps-235-50-r18-97v--3768538,Yokohama c. drive 2 AC02A ZPS 235/50 R18 97V,['18500.0'],Car,Summer,Yokohama,235,50,R,18,97,V,4968814825942,C,C,Runflat
83,https://www.tyres-online.in/pirelli-p-zero-245-40-r18-97y--9789474,Pirelli P ZERO 245/40 R18 97Y,['16500.0'],Car,Summer,Pirelli,245,40,R,18,97,Y,8019227194944,B,C,
84,https://www.tyres-online.in/bridgestone-turanza-t001-225-45-r17-91v--16154829,Bridgestone Turanza T001 225/45 R17 91V,['17500.0'],Car,Summer,Bridgestone,225,45,R,17,91,V,3286340509312,D,,
85,https://www.tyres-online.in/bridgestone-turanza-er-300-2-rft-195-55-r16-87v--7893158,Bridgestone Turanza ER 300-2 RFT 195/55 R16 87V,['12250.0'],Car,Summer,Bridgestone,195,55,R,16,87,V,3286340489515,D,,Runflat
86,https://www.tyres-online.in/pirelli-p-zero-275-45-zr18-103y--1077499,Pirelli P ZERO 275/45 ZR18 103Y,['28000.0'],Car,Summer,Pirelli,275,45,ZR,18,103,Y,8019227231564,A,D,
87,https://www.tyres-online.in/bridgestone-potenza-re-050-a-ecopia-245-40-r18-97y--4227086,Bridgestone Potenza RE 050 A ECOPIA 245/40 R18 97Y,['21500.0'],Car,Summer,Bridgestone,245,40,R,18,97,Y,3286340514019,B,C,
88,https://www.tyres-online.in/bridgestone-turanza-t001-ext-225-50-r17-94w--5271742,Bridgestone Turanza T001 EXT 225/50 R17 94W,['16500.0'],Car,Summer,Bridgestone,225,50,R,17,94,W,3286340601511,C,,Runflat
89,https://www.tyres-online.in/hankook-ventus-s1-evo-2-k117-225-50-r17-94y--4554985,Hankook Ventus S1 Evo 2 K117 225/50 R17 94Y,['12500.0'],Car,Summer,Hankook,225,50,R,17,94,Y,8808563340371,C,,
90,https://www.tyres-online.in/dunlop-sp-sport-maxx-gt-235-40-zr18-95y--7176277,Dunlop SP Sport Maxx GT 235/40 ZR18 95Y,['15000.0'],Car,Summer,Dunlop,235,40,ZR,18,95,Y,5452000535726,A,F,
91,https://www.tyres-online.in/bridgestone-potenza-re-050-a-225-45-r17-91w--8220879,Bridgestone Potenza RE 050 A 225/45 R17 91W,['13000.0'],Car,Summer,Bridgestone,225,45,R,17,91,W,3286340295819,B,F,
92,https://www.tyres-online.in/continental-contisportcontact-5-245-40-r17-91w--6447264,Continental ContiSportContact 5 245/40 R17 91W,['21500.0'],Car,Summer,Continental,245,40,R,17,91,W,4019238456233,B,C,
93,https://www.tyres-online.in/yokohama-advan-fleva-v701-255-40-r17-94w--2592993,Yokohama Advan Fleva V701 255/40 R17 94W,['759.0'],Car,Summer,Yokohama,255,40,R,17,94,W,4968814900106,A,C,
94,https://www.tyres-online.in/pirelli-p-zero-265-35-r18-97y--9335000,Pirelli P ZERO 265/35 R18 97Y,['27500.0'],Car,Summer,Pirelli,265,35,R,18,97,Y,8019227194951,B,C,
95,https://www.tyres-online.in/dunlop-sp-sport-01-225-50-r17-94y--11821280,Dunlop SP Sport 01 225/50 R17 94Y,['11000.0'],Car,Summer,Dunlop,225,50,R,17,94,Y,4038526320377,B,F,
